id_atendente,tempo_de_casa_meses,volume_chamados_dia,escala_turno,dias_falta_mes,status
ATEND_0001,39,46,Manhã,0,Ativo
ATEND_0002,52,36,Manhã,4,Ativo
ATEND_0003,29,44,Madrugada,3,Ativo
ATEND_0004,15,39,Madrugada,3,Ativo
ATEND_0005,43,27,Tarde,1,Ativo
ATEND_0006,8,48,Tarde,1,Desligado
ATEND_0007,21,40,Noite,2,Desligado
ATEND_0008,39,45,Manhã,3,Ativo
ATEND_0009,58,36,Madrugada,3,Desligado
ATEND_0010,19,41,Tarde,1,Ativo
ATEND_0011,23,60,Tarde,3,Ativo
ATEND_0012,11,46,Tarde,1,Ativo
ATEND_0013,11,380,Manhã,1,Ativo
ATEND_0014,24,32,Manhã,1,Desligado
ATEND_0015,53,68,Noite,1,Ativo
ATEND_0016,36,63,Manhã,1,Ativo
ATEND_0017,40,58,Tarde,0,Ativo
ATEND_0018,24,53,Manhã,1,Ativo
ATEND_0019,3,45,Tarde,0,Desligado
ATEND_0020,22,49,Manhã,2,Ativo
ATEND_0021,53,55,Tarde,1,Ativo
ATEND_0022,2,38,Noite,2,Ativo
ATEND_0023,24,40,Manhã,0,Ativo
ATEND_0024,44,28,Tarde,1,Ativo
ATEND_0025,30,37,Tarde,1,Ativo
ATEND_0026,38,61,Noite,2,Ativo
ATEND_0027,2,41,Madrugada,3,Ativo
ATEND_0028,21,41,Noite,0,Desligado
ATEND_0029,33,48,Manhã,0,Desligado
ATEND_0030,12,28,Manhã,2,Ativo
ATEND_0031,58,54,Manhã,1,Ativo
ATEND_0032,22,57,Tarde,2,Ativo
ATEND_0033,44,48,Manhã,1,Desligado
ATEND_0034,25,61,Tarde,0,Ativo
ATEND_0035,49,31,Tarde,1,Ativo
ATEND_0036,27,63,Tarde,1,Ativo
ATEND_0037,59,37,Noite,2,Ativo
ATEND_0038,42,32,Manhã,1,Ativo
ATEND_0039,28,42,Manhã,0,Ativo
ATEND_0040,16,63,Noite,1,Ativo
ATEND_0041,15,44,Tarde,2,Ativo
ATEND_0042,47,35,Noite,1,Ativo
ATEND_0043,51,32,Tarde,3,Ativo
ATEND_0044,44,43,Manhã,0,Ativo
ATEND_0045,55,25,Noite,3,Ativo
ATEND_0046,52,420,Noite,1,Ativo
ATEND_0047,57,60,Noite,0,Ativo
ATEND_0048,3,58,Manhã,1,Desligado
ATEND_0049,37,43,Tarde,2,Ativo
ATEND_0050,51,40,Tarde,0,Ativo
ATEND_0051,7,45,Manhã,1,Ativo
ATEND_0052,21,68,Madrugada,2,Ativo
ATEND_0053,9,49,Manhã,0,Ativo
ATEND_0054,39,54,Madrugada,1,Ativo
ATEND_0055,18,42,Tarde,1,Ativo
ATEND_0056,4,45,Manhã,2,Desligado
ATEND_0057,25,51,Tarde,0,Ativo
ATEND_0058,14,46,Madrugada,0,Desligado
ATEND_0059,50,26,Noite,2,Desligado
ATEND_0060,58,57,Noite,0,Ativo
ATEND_0061,9,38,Noite,1,Desligado
ATEND_0062,26,66,Noite,2,Ativo
ATEND_0063,53,51,Noite,1,Desligado
ATEND_0064,2,45,Manhã,2,Ativo
ATEND_0065,20,49,Tarde,1,Ativo
ATEND_0066,28,43,Manhã,0,Ativo
ATEND_0067,47,40,Madrugada,2,Ativo
ATEND_0068,7,47,Madrugada,0,Ativo
ATEND_0069,44,53,Manhã,0,Ativo
ATEND_0070,8,40,Noite,1,Ativo
ATEND_0071,47,38,Madrugada,1,Ativo
ATEND_0072,35,41,Manhã,1,Ativo
ATEND_0073,14,54,Tarde,1,Ativo
ATEND_0074,17,59,Madrugada,1,Desligado
ATEND_0075,36,48,Manhã,3,Desligado
ATEND_0076,50,50,Noite,1,Desligado
ATEND_0077,40,38,Manhã,3,Ativo
ATEND_0078,4,53,Madrugada,2,Ativo
ATEND_0079,2,50,Madrugada,2,Ativo
ATEND_0080,6,37,Madrugada,1,Desligado
ATEND_0081,54,27,Tarde,1,Ativo
ATEND_0082,42,32,Madrugada,2,Ativo
ATEND_0083,4,38,Noite,3,Ativo
ATEND_0084,54,56,Tarde,1,Desligado
ATEND_0085,29,60,Noite,4,Ativo
ATEND_0086,18,40,Manhã,1,Ativo
ATEND_0087,26,40,Tarde,1,Ativo
ATEND_0088,44,47,Manhã,3,Ativo
ATEND_0089,34,45,Manhã,25,Ativo
ATEND_0090,10,54,Manhã,1,Ativo
ATEND_0091,36,39,Noite,2,Ativo
ATEND_0092,14,54,Tarde,1,Desligado
ATEND_0093,31,42,Noite,2,Ativo
ATEND_0094,48,53,Manhã,3,Desligado
ATEND_0095,15,42,Tarde,1,Desligado
ATEND_0096,8,38,Tarde,2,Ativo
ATEND_0097,14,64,Noite,3,Ativo
ATEND_0098,23,55,Tarde,0,Ativo
ATEND_0099,57,27,Tarde,1,Desligado
ATEND_0100,40,40,Madrugada,1,Ativo
ATEND_0101,21,57,Tarde,3,Ativo
ATEND_0102,16,33,Manhã,3,Ativo
ATEND_0103,45,52,Manhã,1,Ativo
ATEND_0104,18,51,Madrugada,1,Ativo
ATEND_0105,47,38,Manhã,0,Ativo
ATEND_0106,53,44,Madrugada,1,Ativo
ATEND_0107,24,24,Tarde,0,Ativo
ATEND_0108,26,62,Madrugada,0,Ativo
ATEND_0109,25,41,Noite,3,Ativo
ATEND_0110,45,53,Madrugada,1,Ativo
ATEND_0111,41,51,Tarde,1,Ativo
ATEND_0112,29,58,Noite,1,Desligado
ATEND_0113,15,40,Tarde,2,Ativo
ATEND_0114,45,47,Tarde,0,Ativo
ATEND_0115,1,50,Tarde,2,Ativo
ATEND_0116,25,53,Madrugada,1,Ativo
ATEND_0117,7,56,Madrugada,2,Ativo
ATEND_0118,9,40,Noite,0,Ativo
ATEND_0119,24,38,Tarde,0,Desligado
ATEND_0120,1,58,Tarde,1,Ativo
ATEND_0121,44,24,Noite,1,Ativo
ATEND_0122,8,60,Manhã,3,Ativo
ATEND_0123,24,41,Manhã,1,Ativo
ATEND_0124,11,44,Tarde,1,Ativo
ATEND_0125,51,38,Manhã,0,Ativo
ATEND_0126,17,44,Manhã,2,Ativo
ATEND_0127,8,57,Manhã,1,Ativo
ATEND_0128,35,52,Manhã,3,Ativo
ATEND_0129,35,49,Manhã,1,Ativo
ATEND_0130,33,45,Madrugada,0,Ativo
ATEND_0131,59,30,Tarde,0,Ativo
ATEND_0132,5,36,Tarde,1,Desligado
ATEND_0133,42,41,Noite,1,Ativo
ATEND_0134,39,49,Manhã,0,Ativo
ATEND_0135,58,45,Madrugada,0,Ativo
ATEND_0136,41,54,Noite,4,Desligado
ATEND_0137,28,49,Manhã,1,Desligado
ATEND_0138,7,45,Tarde,1,Ativo
ATEND_0139,9,67,Madrugada,1,Desligado
ATEND_0140,8,49,Madrugada,1,Ativo
ATEND_0141,12,40,Tarde,1,Ativo
ATEND_0142,34,63,Tarde,1,Desligado
ATEND_0143,33,57,Manhã,4,Desligado
ATEND_0144,48,63,Madrugada,1,Ativo
ATEND_0145,55,43,Manhã,0,Ativo
ATEND_0146,23,54,Madrugada,1,Ativo
ATEND_0147,24,30,Tarde,2,Ativo
ATEND_0148,37,52,Tarde,3,Desligado
ATEND_0149,35,43,Tarde,0,Ativo
ATEND_0150,44,31,Manhã,1,Ativo
ATEND_0151,40,55,Manhã,2,Ativo
ATEND_0152,22,26,Manhã,0,Ativo
ATEND_0153,27,25,Manhã,0,Ativo
ATEND_0154,35,48,Noite,1,Ativo
ATEND_0155,1,50,Tarde,0,Desligado
ATEND_0156,35,54,Manhã,0,Desligado
ATEND_0157,37,52,Madrugada,2,Ativo
ATEND_0158,47,59,Madrugada,0,Desligado
ATEND_0159,14,52,Madrugada,1,Desligado
ATEND_0160,3,43,Madrugada,1,Desligado
ATEND_0161,1,44,Manhã,0,Ativo
ATEND_0162,5,42,Tarde,0,Ativo
ATEND_0163,26,47,Noite,2,Ativo
ATEND_0164,55,34,Noite,0,Ativo
ATEND_0165,14,48,Manhã,0,Ativo
ATEND_0166,39,44,Noite,1,Ativo
ATEND_0167,27,47,Manhã,2,Ativo
ATEND_0168,9,47,Manhã,0,Ativo
ATEND_0169,15,20,Tarde,0,Ativo
ATEND_0170,15,35,Tarde,3,Ativo
ATEND_0171,26,43,Tarde,0,Desligado
ATEND_0172,42,44,Manhã,2,Desligado
ATEND_0173,13,47,Madrugada,3,Desligado
ATEND_0174,51,48,Manhã,2,Desligado
ATEND_0175,32,60,Manhã,2,Ativo
ATEND_0176,39,48,Madrugada,1,Desligado
ATEND_0177,49,41,Madrugada,1,Ativo
ATEND_0178,52,29,Madrugada,1,Ativo
ATEND_0179,32,31,Noite,0,Ativo
ATEND_0180,4,50,Noite,0,Ativo
ATEND_0181,30,55,Tarde,2,Ativo
